"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060000028","277431","6786"
"T20060000130","44566","1050"
"T20060000198","29996","1205"
"T20060000202","50283","7890"
"T20060000286","55769","6644"
"T20060000343","43935","106073"
"T20060000549","35791","1308"
"T20060000552","55491","104315"
"T20060000722","43567","6769"
"T20060000765","49660","104080"
"T20060000871","22510","2246"
"T20060000876","801","6166"
"T20060000914","73111","6822"
"T20060000998","1062","6909"
"T20060001010","36950","8790"
"T20060001100","55500","104019"
"T20060001160","35619","6344"
"T20060001231","57654","6692"
"T20060001265","793","1000"
"T20060001265","793","6086"
"T20060001276","48996","9050"
"T20060001369","19","9229"
"T20060001395","52313","1290"
"T20060001464","49187","1213"
"T20060001571","57648","6672"
"T20060001607","41390","5946"
"T20060001762","10381","1002"
"T20060001764","29470","5433"
"T20060001806","43975","6818"
"T20060001962","222123","1027"
"T20060002025","38564","9282"
"T20060002077","29425","9391"
"T20060002121","40205","5672"
"T20060002173","55531","103030"
"T20060002259","36230","9314"
"T20060002304","50042","103626"
"T20060002324","29592","9519"
"T20060002349","47919","1001"
"T20060002375","36261","9315"
"T20060002381","39320","5352"
"T20060002419","29464","9498"
"T20060002445","53521","6255"
"T20060002526","37624","106078"
"T20060002606","55528","9532"
"T20060002609","55431","101675"
"T20060002623","673","5849"
"T20060002648","49935","7701"
"T20060002665","119","9473"
"T20060002666","37597","9494"
"T20060002670","46537","5418"
"T20060002689","22","9260"
"T20060002715","91659","5490"
"T20060002810","52861","2311"
"T20060002827","36190","106022"
"T20060002888","49988","103577"
"T20060003011","30020","9566"
"T20060003016","49281","2306"
"T20060003026","118908","9229"
"T20060003053","35841","2258"
"T20060003067","44463","7708"
"T20060003114","10381","1002"
"T20060003144","55446","102410"
"T20060003147","50190","7804"
"T20060003170","70797","6394"
"T20060003176","44208","8856"
"T20060003193","50667","7984"
"T20060003202","37945","102352"
"T20060003208","22397","104355"
"T20060003231","55445","103783"
"T20060003271","49997","7717"
"T20060003312","10592","1000"
"T20060003344","46152","6726"
"T20060003349","44382","9567"
"T20060003384","55536","5104"
"T20060003388","41762","5995"
"T20060003394","35407","9499"
"T20060003438","55542","8830"
"T20060003441","47356","8845"
"T20060003529","1016","6592"
"T20060003545","29384","6112"
"T20060003634","55539","9396"
"T20060003646","41","6531"
"T20060003889","883","8959"
"T20060003954","40951","5456"
"T20060004038","46824","7767"
"T20060004061","49990","7715"
"T20060004066","1179","6572"
"T20060004118","37302","9365"
"T20060004129","42157","6092"
"T20060004168","35304","9276"
"T20060004243","55924","6722"
"T20060004252","47029","9370"
"T20060004311","55553","7520"
"T20060004314","40800","103007"
"T20060004347","29559","5298"
"T20060004469","203241","103013"
"T20060004554","24804","6545"
"T20060004706","45881","1030"
"T20060004723","29517","9254"
"T20060004792","37962","9010"
"T20060004897","37388","6562"
"T20060004945","478","5254"
"T20060005015","29694","6374"
"T20060005039","478","5254"
"T20060005193","41120","104853"
"T20060005252","119","9473"
"T20060005261","38761","8724"
"T20060005280","29743","6777"
"T20060005285","66274","104098"
"T20060005289","36213","9286"
"T20060005342","54769","105704"
"T20060005399","35408","9510"
"T20060005416","41910","5791"
"T20060005418","49624","102184"
"T20060005503","38524","9215"
"T20060005569","29396","9329"
"T20060005610","72036","102291"
"T20060005615","40894","5517"
"T20060005624","35413","5528"
"T20060005633","36515","104474"
"T20060005702","35805","3098"
"T20060005731","46824","7767"
"T20060005739","203341","102235"
"T20060005789","35841","2258"
"T20060005802","44318","9602"
"T20060005880","29435","8803"
"T20060005885","42752","6315"
"T20060005888","16791","102788"
"T20060005890","612","5538"
"T20060005929","1319","8719"
"T20060005950","36287","9316"
"T20060005954","36997","103646"
"T20060005964","38556","8677"
"T20060005978","29619","5485"
"T20060005981","35642","6766"
"T20060005990","49445","104269"
"T20060006020","55477","102145"
"T20060006031","43027","6301"
"T20060006033","35526","5413"
"T20060006136","169","9305"
"T20060006139","46314","101638"
"T20060006172","53517","7978"
"T20060006185","35350","105479"
"T20060006191","55450","101219"
"T20060006198","54037","2261"
"T20060006236","44660","8820"
"T20060006266","47705","1027"
"T20060006321","40708","5446"
"T20060006322","42816","6384"
"T20060006380","46571","6939"
"T20060006390","42451","6033"
"T20060006396","998","8740"
"T20060006436","29743","6777"
"T20060006457","36818","101329"
"T20060006544","51353","103436"
"T20060006616","41936","5772"
"T20060006622","39578","5306"
"T20060006717","1270","103373"
"T20060006745","37624","106078"
"T20060006806","32860","6390"
"T20060006890","55455","6337"
"T20060006896","919","6636"
"T20060006922","41684","5921"
"T20060006953","45878","101439"
"T20060007002","50051","7734"
"T20060007127","43974","6814"
"T20060007190","39559","5337"
"T20060007258","40756","5681"
"T20060007275","39361","5291"
"T20060007416","57544","100891"
"T20060007450","36230","9314"
"T20060007487","35424","106093"
"T20060007523","41018","5521"
"T20060007527","49096","5029"
"T20060007528","38755","8706"
"T20060007533","53276","8832"
"T20060007551","45641","9164"
"T20060007599","12246","5490"
"T20060007769","47540","8695"
"T20060007783","55836","102076"
"T20060007790","15462","7920"
"T20060007802","36221","9233"
"T20060007882","42291","6037"
"T20060007887","55567","4148"
"T20060007901","48893","6165"
"T20060007987","32079","106094"
"T20060008041","55457","102943"
"T20060008137","29387","9395"
"T20060008199","43875","6645"
"T20060008220","36206","9245"
"T20060008221","43975","6818"
"T20060008241","47642","5193"
"T20060008307","52494","1024"
"T20060008339","29893","1001"
"T20060008438","55575","100287"
"T20060008454","49996","7716"
"T20060008474","323","104099"
"T20060008522","49906","7696"
"T20060008538","50420","1324"
"T20060008611","35546","5754"
"T20060008611","35546","101261"
"T20060008667","46242","100103"
"T20060008746","795","6010"
"T20060008804","26160","2143"
"T20060008819","42819","6400"
"T20060008825","33879","1002"
"T20060008833","29372","9209"
"T20060008840","45228","9054"
"T20060008873","29746","6456"
"T20060008894","45509","100061"
"T20060008999","56191","9337"
"T20060009076","55585","4191"
"T20060009093","169","9305"
"T20060009105","85","1005"
"T20060009193","35323","5234"
"T20060009206","53359","2258"
"T20060009213","29372","9209"
"T20060009263","29396","9329"
"T20060009266","55588","8893"
"T20060009294","55589","5105"
"T20060009328","42155","6101"
"T20060009329","81","5961"
"T20060009449","48501","5783"
"T20060009463","41464","5749"
"T20060009486","37295","9341"
"T20060009574","53892","7653"
"T20060009586","45642","9183"
"T20060009679","41837","5960"
"T20060009714","38475","5046"
"T20060009745","50635","7970"
"T20060009825","36321","6197"
"T20060009830","44633","8991"
"T20060009892","37793","9019"
"T20060009901","34518","9005"
"T20060009946","37235","9084"
"T20060009966","42919","6219"
"T20060009996","44382","9567"
"T20060010035","40914","5669"
"T20060010148","35304","9276"
"T20060010258","19433","105656"
"T20060010279","46905","5128"
"T20060010298","192931","6179"
"T20060010302","55520","102383"
"T20060010349","40697","5592"
"T20060010369","41936","5772"
"T20060010406","55478","5164"
"T20060010439","39267","5276"
"T20060010508","41953","5795"
"T20060010511","37585","9474"
"T20060010522","40914","5669"
"T20060010575","55599","1248"
"T20060010585","29386","9210"
"T20060010619","11590","9475"
"T20060010639","53184","1001"
"T20060010639","53184","9291"
"T20060010648","243","9389"
"T20060010722","35438","8799"
"T20060010738","39775","5202"
"T20060010767","42197","6153"
"T20060010782","42746","6207"
"T20060010827","22","9260"
"T20060010855","45622","9093"
"T20060010944","15413","7749"
"T20060011072","35341","106066"
"T20060011083","42577","105834"
"T20060011164","57290","3153"
"T20060011184","49684","1003"
"T20060011190","57354","8693"
"T20060011201","37693","100906"
"T20060011228","461","9369"
"T20060011263","47464","7676"
"T20060011303","84","5272"
"T20060011412","54453","9413"
"T20060011452","44461","7703"
"T20060011462","29517","9254"
"T20060011473","36138","6291"
"T20060011482","57539","5760"
"T20060011496","44382","9567"
"T20060011547","478","5254"
"T20060011663","793","1000"
"T20060011663","793","6086"
"T20060011664","40501","8859"
"T20060011721","51107","3150"
"T20060011722","29491","9007"
"T20060011735","37691","100905"
"T20060011769","868","6379"
"T20060011773","30019","6627"
"T20060011788","41876","5838"
"T20060011885","40410","5422"
"T20060011888","41770","5998"
"T20060011960","43752","8692"
"T20060011973","52848","2296"
"T20060012012","35532","5593"
"T20060012205","792","6047"
"T20060012234","41991","5934"
"T20060012267","41843","5710"
"T20060012334","29386","9210"
"T20060012393","38688","9300"
"T20060012402","438","5028"
"T20060012415","41693","5861"
"T20060012444","792","6047"
"T20060012487","42157","6092"
"T20060012537","40500","5518"
"T20060012560","37788","5457"
"T20060012675","36321","6197"
"T20060012822","35714","9155"
"T20060012832","29386","9210"
"T20060012924","41910","5791"
"T20060012995","36150","5876"
"T20060013037","17632","3139"
"T20060013104","203915","5456"
"T20060013197","35705","8760"
"T20060013345","55617","3163"
"T20060013348","37179","9427"
"T20060013375","48334","7631"
"T20060013468","55623","9589"
"T20060013476","36208","9264"
"T20060013505","38291","5063"
"T20060013529","793","1000"
"T20060013529","793","6086"
"T20060013752","36210","9279"
"T20060013754","36448","6458"
"T20060013819","32860","6390"
"T20060013830","55849","7967"
"T20060013846","53216","9400"
"T20060014296","35784","7781"
"T20060014375","52494","1024"
"T20060014621","40783","5621"
"T20060014869","35526","5413"
"T20060014900","36221","9233"
"T20060015014","46521","5127"
"T20060015024","52047","1108"
"T20060015149","52865","2315"
"T20060015263","39539","5236"
"T20060015275","45123","1208"
"T20060015297","26244","4192"
"T20060015314","46695","6038"
"T20060015328","50246","100726"
